"DMAP-SL(phi=2)(init1)" "DMAP-SL(phi=2)(init2)" "DMAP-SL(phi=log(n))(init1)" "DMAP-SL(phi=log(n))(init2)"
"Time(s)" 0.0642000000000145 0.083150000000023 0.0605000000000085 0.0786000000000195
"MSPE" 1.21681749243947 1.21685330941669 1.24332694831069 1.24330020152398
"Time(s)" 0.0661500000000188 0.0878000000000117 0.0647500000000292 0.089650000000031
"MSPE" 1.22481073907439 1.22479625968607 1.23261472238374 1.23260127945089
"Time(s)" 0.0672000000001344 0.0921000000002118 0.0677000000001306 0.0943000000001962
"MSPE" 1.20091341643809 1.20039992038772 1.22886416541399 1.22828316858024
"Time(s)" 0.0687500000000045 0.0925500000000716 0.0688500000000386 0.0944500000000346
"MSPE" 0.312559595696605 0.311611368290988 0.314599239970852 0.313659142798486
"Time(s)" 0.122000000000066 0.147200000000116 0.115200000000091 0.153950000000109
"MSPE" 0.302458415282216 0.193761886575868 0.305740258183342 0.216608628278254
