"DMAP-SL(phi=2)(init1)" "DMAP-SL(phi=2)(init2)" "DMAP-SL(phi=log(n))(init1)" "DMAP-SL(phi=log(n))(init2)"
"Time(s)" 0.0624500000003718 0.081450000000541 0.0598000000003776 0.0815000000005375
"MSPE" 1.2125631841135 1.20906154451941 1.23738839745666 1.23401221189971
"Time(s)" 0.0666000000005306 0.0855000000005202 0.0634500000005801 0.0873500000005833
"MSPE" 1.19494230329111 1.19408610890532 1.20261664413761 1.20173538249878
"Time(s)" 0.0664000000006172 0.0925500000006014 0.0672500000005766 0.0910000000006039
"MSPE" 1.21568410821605 1.21015663800347 1.24117805915867 1.23603320910403
"Time(s)" 0.0661500000005208 0.092000000000603 0.0683000000005222 0.0917500000006748
"MSPE" 0.322603006529835 0.320542999386472 0.324500530795941 0.322454720663058
"Time(s)" 0.116100000000761 0.137350000000988 0.111400000000708 0.142300000000928
"MSPE" 0.206021823812223 0.166342849226454 0.226870629763182 0.19261382857336
