"DMAP-SL(phi=2)(init1)" "DMAP-SL(phi=2)(init2)" "DMAP-SL(phi=log(n))(init1)" "DMAP-SL(phi=log(n))(init2)"
"Time(s)" 0.0605000000045402 0.076900000005844 0.0591500000034284 0.0783500000054482
"MSPE" 1.12122957732303 1.12000480584601 1.1746645589849 1.17501109998376
"Time(s)" 0.06215000000484 0.0795000000043365 0.0645000000044092 0.081400000004578
"MSPE" 1.06945711317496 1.06941074558339 1.11798332034531 1.1180337840306
"Time(s)" 0.0662000000054104 0.0887500000026921 0.0640500000051543 0.0878500000022177
"MSPE" 1.11847688332016 1.11801602560417 1.17518032482277 1.17592417106468
"Time(s)" 0.0651000000061322 0.0889500000024418 0.0658500000050844 0.08750000000422
"MSPE" 0.171579035261945 0.167590238696383 0.181898645238702 0.179769481872311
"Time(s)" 0.113550000007017 0.13560000000849 0.109200000006385 0.136850000008562
"MSPE" 0.162623614926914 0.150654542650873 0.174782749197349 0.17251942893803
